Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Boutique Hotels,THE THEVA RESIDENCY,"11/B5/10-1 06TH LANE, HANTANA,KANDY",10,,Kandy,Kandy Divisional Secretariat,Kandy,80.635411,7.276036
Boutique Hotels,HIGHLAND VILLA,"351, ABIMANGAMA ROAD, KUMBALGAMA, WELIGAMA",10,,Matara,Weligama Divisional Secretariat,Weligama Pradeshiya Sabha,80.409972,5.960334
Boutique Hotels,ULAGALLA WALAWWA RESORT,"THIRAPPANE, ANURADHAPURA",21,,Anuradhapura,Anuradhapura East,Anuradhapura,80.545063,8.205927
Boutique Hotels,GALLE FORT HOTEL,"NO.28, CHURCH STREET, FORT , GALLE",14,,Galle,Galle Divisional Secretariat,Galle,80.217563,6.026649
Boutique Hotels,THE ELEPHANT CORRIDOR,"POTHANA,KIBISSA, SIGIRIYA",21,,Matale,N/A,Matale,80.710743,7.943525
Boutique Hotels,AMANWELLA,"WELLAWATURA, GODELLAWELA, TANGALLE",30,,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.777376,6.006174
Boutique Hotels,ADITYA,"719/1, GALLE ROAD, DEVENIGODA,RATHGAMA",12,,Galle,Galle Divisional Secretariat,Galle,80.134978,6.094732
Boutique Hotels,BUCKINGAM PLACE,"REKAWA VILLAGE, NETOLPITIYA, TANGALLE",11,,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.855462,6.047336
Boutique Hotels,CLUB VILLA,"NO.138/15, GALLE ROAD, BENTOTA",15,,Galle,Benthota Divisional Secretariat,Bentota Pradeshiya Sabha,79.999034,6.414093
Boutique Hotels,SAMAN VILLAS,"ATURUWELLA, INDURUWA",27,,Galle,Galle Divisional Secretariat,Galle,80.004447,6.395518
Boutique Hotels,MANDARA RESORT,"NO. 416, MODARAWATTA, PELENA, MIRISSA, WEILIGAMA",12,,Matara,Matara Divisional Secretariat,Weligama Pradeshiya Sabha,80.453836,5.964016
Boutique Hotels,VIL UYANA,"RANGIRIGAMA, SIGIRIYA",30,,Matale,Matale Divisional Secretariat,Matale,80.720275,7.92971
Boutique Hotels,TAMARIND HILL HOTEL,"NO.288,GALLE ROAD, DADELLA, GALLE",11,,Galle,Galle Divisional Secretariat,Galle,80.19736,6.044845
Boutique Hotels,PARADISE ROAD TINTAGEL COLOMBO,"NO.65, ROSMEAD PLACE,COLOMBO 07",10,,Colombo,Colombo Divisional Secretariat,Colombo,79.869959,6.915033
Boutique Hotels,BROOK BOUTIQUE,"ALI PALLAMA, MADAHAPOLA ROAD, MELSIRIPURA",10,,Kurunegala,Polpithigama Divisional Secretariat,Polpithigama Pradeshiya Sabha,80.512511,7.726939
Boutique Hotels,THE FORTRESS,KOGGALA,49,,Galle,Galle Divisional Secretariat,Galle,80.326424,5.986535
Boutique Hotels,CASA COLOMBO,"NO.231, GALLE ROAD, COLOMBO 03",11,,Colombo,Colombo Divisional Secretariat,Colombo,79.857693,6.888839
Boutique Hotels,AMANGALLE,"NO. 10 CHURCH ROAD, GALLE",28,,Galle,Galle Divisional Secretariat,Galle,80.216995,6.028977
Boutique Hotels,MAALU MAALU RESORTS & SPA,"TOURISM ZONE, PASSIKUDAH.",40,,Batticaloa,Koralai Pattu Divisional Secretariat,Batticaloa,81.561268,7.92839
Boutique Hotels,THE WALAWWA,"MINUWANGODA ROAD,OPATHA,KOTUGODA.",17,,Gampaha,Minuwangoda Divisional Secretariat,Minuwangoda Pradeshiya Sabha,79.927908,7.131981
Boutique Hotels,BOULDER GARDEN,"KOSWATTA,KALAWANA.",10,,Ratnapura,Kalawana Divisional Secretariat,Ratnapura,80.385872,6.514558
Boutique Hotels,JIMS FARM VILLA,"AHELAPOLA, PELLEPOLA, MATALE",10,,Matale,Pallepola Divisional Secretariat,Ahelapola,80.619922,7.621357
Boutique Hotels,LANGDALE RESORT & SPA,"P.O BOX 01, NANUOYA, RADELLA,NUWARAELIYA",13,,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,Kotapola Pradeshiya Sabha,80.718066,6.929208
Boutique Hotels,THE FORT BAZAAR,"26, CHURCH STREET, GALLE FORT, GALLE",18,,Galle,Galle Divisional Secretariat,Galle,80.2154963,6.026844
Boutique Hotels,"WATER GARDEN,SIGIRIYA","KIBISSA, SIGIRIYA",30,,Matale,Dambulla Divisional Secretariat,Dambulla Pradeshiya Sabha,80.7441833,7.994399
Boutique Hotels,SOORIYA RESORT & SPA,"SOORIYA RESORT & SPA, REKAWA BEACH, TANGALLE",38,,Hambantota,Tangalle Divisional Secretariat,Tangalle Pradeshiya Sabha,80.8635393,6.048141
Boutique Hotels,WILD COAST TENTED LODGE,"PALATUPANA,YALA.",28,,Hambantota,Thissamaharama Divisional Secretariat,Thissamaharama,81.4064072,6.2607399
Boutique Hotels,THE HABITAT,"47/23,PARATHARAKAYA CIRCULATION ROAD, KOSGODA",28,,Galle,Balapitiya Divisional Secretariat,balapitiya,80.0258226,6.3405694
Boutique Villas,ROCK VILLA,"NEELISGEWATTA,ALAWATHUGODA,BENTOTA.",7,,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.9973733,6.41358
Boutique Villas,MIRAGE KINGS COTTAGE,"NO 111, HAVELOCK DRIVE, OFF UPPER LAKE ROAD,NUWARAELIYA.",11,,Nuwara Eliya,Nuwara Eliya,Nugegoda Divisional Secretariat,80.7723742,6.9641218
Boutique Villas,DUNKELD BUNGALOW,"DUNKEL BUNGALOW, DANKELD ESTATE, DICKOYA",5,,Nuwara Eliya,Ambalantota Pradeshiya Sabha,Ambalangoda Divisional Secretariat,80.572933,6.858082
Boutique Villas,SUMMERVILLE,"TEA TRAILS (PVT) LTD, SUMMERVILLE BUNGALOW, SUMMERVILLE, DICKOYA, HATTON.",5,,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Ambagamuwa Divisional Secretariat,80.580983,6.867271
Boutique Villas,MIRISSA HILLS,"HENWALA ROAD, HENWALA, MIRISSA",8,,Matara,Galle,Galle Divisional Secretariat,80.465105,5.963842
Boutique Villas,WILD GRASS NATURE RESORT,SIGIRIYA,5,,Matale,Matale,Matale Divisional Secretariat,80.724371,7.904267
Boutique Villas,NORWOOD BUNGALOW,"TEA TRAILS,NUWARA ELIYA.",5,,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.60413,6.834541
Boutique Villas,VILLA SAFFRON,"NO,776,GALLE ROAD,THIRANGAMA,HIKKADUWA",5,,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.1137,6.12222
Boutique Villas,MOUNT HAVANA LUXURY BOUTIQUE VILLA,"P.O. BOX. 28, WATTAHENA, GAMPOLA.",5,,Kandy,Gampola,Udapalatha Divisional Secretariat,80.599521,7.144944
Boutique Villas,LAKE LODGE BOUTIQUE HOTEL,"16,DIVISION,WEWA ROAD,KANDALAMA,DAMBULLA",6,,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.690316,7.863126
Boutique Villas,MOUNT BATTEN BUNGALOW,"BOWALAWATTA,WAITRARAMA,ARANVA ROAD,KANDY",3,,Kandy,Kandy,Kandy Divisional Secretariat,80.619447,7.255123
Boutique Villas,ELLERTON HOTEL,"NAWA GURUKELLE, DOLUWA, GAMPOLA",5,,Kandy,Gampola,Gampola Divisional Secretariat,80.629261,7.187229
Boutique Villas,ROSYTH ESTATE HOUSE,"ROSYTH ESTATE,PUSSELLA,KEGALLE",7,,Kegalle,Kegalle,Kegalle Divisional Secretariat,80.352821,7.276954
Boutique Villas,ERAELIYA VILLAS AND GARDENS,"NO : 299,WALLIWALA,KAPPARATOTA,WELIGAMA.",7,,Matara,Matara,Weligama Divisional Secretariat,80.413849,5.958113
Boutique Villas,WATERSIDE BENTOTA,"YATHRAMULLA,BENTOTA",6,,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.007114,6.430846
Boutique Villas,COCO BAY,"NO. 4/10, RUMASSALA, UNAWATUNA.",8,,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.243972,6.027435
Boutique Villas,REEF VILLA & SPA,"NO.78,SAMANTHARA RD, WADDUWA",7,,Kalutara,Kalutara Pradeshiya Sabha,Wadduwa,79.928253,6.658974
Boutique Villas,DVILLAS LUXURY,"193/1, GNANENDRA MAWATHA, NAWALA",6,,Colombo,Colombo,Colombo Divisional Secretariat,79.8872566,6.8864696
Boutique Villas,ERA BEACH HOTEL,"NO. 834, MATARA ROAD, THALPE",6,,Galle,Galle,Galle Divisional Secretariat,80.2727742,5.9984781
Boutique Villas,THE RIVER HOUSE,"NO.70, UTTAMAGHNA MAWATHA,WALAGEDERA, BALAPITIYA",5,,Galle,Galle,Galle Divisional Secretariat,80.043303,6.260578
Boutique Villas,KAHANDA KANDA,"AGULUGAHA, GALLE",6,,Galle,Galle,Galle Divisional Secretariat,80.345978,6.020899
Boutique Villas,APA VILLA,"78TH MILE POST, MATARA ROAD, THALPE",5,,Galle,Galle,Galle Divisional Secretariat,80.27272,6.04173
Boutique Villas,WARWICK GARDEN,"AMBEWELA DIVISION, WARWICK ESTATE, BORAGAS",5,,Nuwara Eliya,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,80.828226,6.897703
Boutique Villas,VILLA REPUBLIC GALLE,"607/10,COLOMBO ROAD,GINTOTA,GALLE.",8,,Galle,Galle,Galle Divisional Secretariat,80.179398,6.058846
Boutique Villas,COCOON RESORT AND VILLAS,"KAIKAWALA ROAD, INDURUWA",10,,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.012888,6.373562
Boutique Villas,C & I BEACH HOTEL,"57,IRANAWILA WATTA, IRANAWILA, CHILAW",11,,Puttalam,Chilaw Pradeshiya Sabha,Puttalam Divisional Secretariat,79.796028,7.506236
Boutique Villas,THE SUN HOUSE,"NO.18, UPPER DICKSON ROAD, GALLE",6,,Galle,Galle,Galle Divisional Secretariat,80.218948,6.038032
Boutique Villas,TIENTSIN BUNGALOW,"TIENTSIN BUNGALOW, TIENTSIN, BOGAWANTALAWA",6,,Nuwara Eliya,Ambagamuwa Pradeshiya Sabha,Nuwara Eliya Divisional Secretariat,80.657846,6.81343
Boutique Villas,THE KANDY HOUSE,"AMUNUGAMA WALAWWA GUNNAPANA, KANDY",10,,Kandy,Kandy,Kundasale Divisional Secretariat,80.61396,7.282111
Boutique Villas,WHY HOUSE,"MIHIRIPENNA, TALPE, GALLE",8,,Galle,Galle,Galle Divisional Secretariat,80.266573,6.007401
Boutique Villas,CASTLEREAGH BUNGALOW,"CASTLEREAGH DIVISION, CEYLON TEA TRAILS, DICKOYA, HATTON",5,,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.572189,6.866252
Boutique Villas,TURTLE BAY,"GURUPOKUNA,KALAMETIYA, HUNGAMA",8,,Hambantota,Hambantota,Hambantota Divisional Secretariat,80.933843,6.076428
Boutique Villas,ARIKA VILLAS,"PUWAKATAWALA ROAD,40TH MILE POST,OFF MATALE ROAD,DAMBULLA.",9,,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.66269,7.792484
Boutique Villas,CLINGENDAEL,"VICTORIA GOLF & COUNTRY RESORT,P.O.BOX 7, KANDY.",5,,Kandy,Kandy,Medadumbara Divisional Secretariat,80.774172,7.267445
Boutique Villas,INDISCH,"NO.246,AHANGAMA KANDA,AHANGAMA.",5,,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.372564,5.967664
Boutique Villas,PARADISE ROAD THE VILLA BENTOTA,"138/18, GALLE ROAD,BENTOTA",8,,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,79.999713,6.411732
Bangalows,KIVGA HOLIDAY HOME,"4C/8 FIRST STAGE, MIHINDU MAWATHA, ANURADHAPURA",4,DELUXE,Anuradhapura,Anuradhapura,Anuradhapura East,80.416952,8.333752
Bangalows,VILLA SUNBIRD,"89B, WELLAMANKARAYA, OFF HUE FERNANDO MAWATHA, NAINAMADAMA",6,DELUXE,Puttalam,Polonnaruwa,Wennappuwa Divisional Secretariat,79.837662,7.306926
Bangalows,COMILLA BUNGALOW,"""COMILLA WATHE"" 76/5, INDURUGALLA, WATHURUGAMA",3,DELUXE,Gampaha,Gampaha,Dompe Divisional Secretariat,80.0942621,7.0566908
Bangalows,SANDELLE HOLIDAY RESORT,"4C/5, STAGE ONE, MIHINDU MAWATHA, ANURADHAPURA",6,STANDARD,Anuradhapura,Anuradhapura,Anuradhapura East,NULL,NULL
Bangalows,SACHAL MIR'S,"2-C, DUNGALPITIYA, THALAHENA, NEGAMBO",4,SUPERIOR,Gampaha,Negombo,Negombo Divisional Secretariat,79.8311,7.152417
Bangalows,MISTY HILLS BOUTIQUE COTTAGE,"20/23,TOP PASS, KANDY ROAD, NUWARAELIYA.(VIA SANASA RESORT)",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.7458665,6.9906717
Bangalows,THE PIER,"NO 113/8B ,DUWAWATTA, ST PETER'S ROAD, KORALAWELLA. MORATUWA.",4,DELUXE,Colombo,Moratuwa,Moratuwa Divisional Secretariat,79.888801,6.773335
Bangalows,SADULA HOLIDAY RESORT,"PULLAYAR JUNCTION, MIHINTHALE ROAD, ANURADHAPURA.",5,SUPERIOR,Anuradhapura,Anuradhapura,Anuradhapura East,80.4307097,8.3538076
Bangalows,NETH PIYASA,"04/85, BEKKEGAMA ROAD, WALANA, PANADURA.",3,SUPERIOR,Kalutara,Kalutara Pradeshiya Sabha,Thanthirimulla,NULL,NULL
Bangalows,ST.ANNE S LAGOON HOUSE,"SOTHTHUPITIYA WADIYA, KALPITIYA ROAD, PALAKKUDA.",6,DELUXE,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.759615,8.229533
Bangalows,FOREST PARADISE GUEST HOME,"PASSARA ROAD, ELLA.",5,SUPERIOR,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.05151,6.874164
Bangalows,MOUNT PLEASANT,"78, MISTY HILLS, WALAGEDARA, WATTAPALA, KADUGANNAWA.",3,STANDARD,Kandy,Kandy,Udunuwara Divisional Secretariat,NULL,NULL
Bangalows,THE RANMIN BUNGALOW,"NO.9, TUDUWA, DAMPE, PILIYANDALA.",3,SUPERIOR,Colombo,Colombo,Colombo Divisional Secretariat,79.918606,6.766099
Bangalows,GREEN GARDEN HOLIDAY BUNGALOW,"535/E , ANAGI MW, HORAGOLLA, NITTAMBUWA.",3,DELUXE,Gampaha,Gampaha,Gampaha Divisional Secretariat,NULL,NULL
Bangalows,MATHUGAMA PIYASA,"KAJUGAHAWATTA, SAMAKANDA ROAD, MATHUGAMA.",3,STANDARD,Kalutara,Mathugama Pradeshiya Sabha,Mathugama Divisional Secretariat,NULL,NULL
Bangalows,CLOUDS,"64,LILY AVE, HAPUTALE.",5,DELUXE,Badulla,Haputale,Haputale Divisional Secretariat,80.94992,6.7647
Bangalows,CASA BLANCO,"395/95, HILL CREST GREEN ,BOWALAWATTE, UDA PERADENIYA, KANDY.",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.618416,7.254844
Bangalows,HORAKELLE ESTATE,"BLOCK NO 2, PALLIYAPITIYA, DUNAGAHA.",9,DELUXE,Gampaha,Gampaha,Gampaha Divisional Secretariat,79.971366,7.251445
Bangalows,SHINE INN TOURIST BUNGALOW,"12/10, GANIHIMULLA,DEWALAPOLA.",1,STANDARD,Gampaha,Minuwangoda Pradeshiya Sabha,Minuwangoda Divisional Secretariat,NULL,NULL
Bangalows,ANKINDA LUXURIOUS VILLA,"293/11M, SURAMYA PLACE, GORAKAPOLA, PANADURA",4,DELUXE,Kalutara,Panadura Pradeshiya Sabha,Panadura Divisional Secretariat,79.904943,6.740224
Bangalows,SILVER BEACH HOTEL,"66/12, ALLES GARDEN, UPPUVELI,TRINCOMALEE",5,STANDARD,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,81.218226,8.616767
Bangalows,HOTEL OCEAN PARK,"101,ALLES GARDEN, SAMPALTIVU,TRINCOMALEE",7,STANDARD,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,NULL,NULL
Bangalows,RAMANATHAN COTTAGE,"848/A, VALAIYOOLHU,IRRAKKAKANDY, NILAVELI.",3,STANDARD,Trincomalee,Trincomalee,Trincomalee Divisional Secretariat,NULL,NULL
Bangalows,SAMANPAYA HOLIDAY BUNGALOW,"HELAMUDUNA, BANDARAWELA.",4,DELUXE,Badulla,Bandarawela Pradeshiya Sabha,Haputale Divisional Secretariat,80.983702,6.842848
Bangalows,LE GRAND MEAULNES - FAMILY HOLIDAY BUNGALOW,"""GREEN PATH"", TRINCOMALEE RD,HABARANA.",3,SUPERIOR,Anuradhapura,Anuradhapura,Anuradhapura East,80.760551,8.048284
Bangalows,ABERDEEN RANGE HOLIDAY HOME,"RANJIRAWA, GINIGATHHENA",3,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.465755,6.996841
Bangalows,WASALA VILLAGE VIEW,"""WASALA"" , MULLE WATTA, ELLA GAMA, DIYATALAWA",5,SUPERIOR,Badulla,Haputale,Haputale Divisional Secretariat,NULL,NULL
Bangalows,CLUB LESPRI,"322,TRANQUILITY, GALAHA ROAD, NILLAMBA",6,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.639866,7.199854
Bangalows,BARAMBA,"NO.22,UPAL MAWATHA,PRIMROSE HILL,KANDY",3,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
Bangalows,KOSALA BUNGALOW,"""KOSALA"" URANWELA,ELPITIYA.",4,STANDARD,Galle,Galle,Galle Divisional Secretariat,NULL,NULL
Bangalows,BLUE LAGOON,"""BLUE LAGOON'WELLAWATTE,HIKKADUWA",3,SUPERIOR,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.101595,6.147039
Bangalows,SENANI COLONIAL HOLIDAY BUNGALOW,"NO.80,LADY MC CALUM DRIVE,HAWAELIYA,NUWARA ELIYA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.776064,6.973548
Bangalows,RIVER SIDE INN FUJI,"81,CIRCULAR ROAD,OBADAWATTA,BENTOTA",4,DELUXE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,80.007141,6.428151
Bangalows,ARANGA-LA,"NO.10,HOSPITAL ROAD,HOMAGAMA",3,DELUXE,Colombo,Homagama Pradeshiya Sabha,Homagama Divisional Secretariat,NULL,NULL
Bangalows,WESTROM VILLA,"ROBOLGODA, BENTOTA.",5,STANDARD,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,NULL,NULL
Bangalows,KANDY HOUSE,"NO 95,UPUL MAWATHA, ,5TH LANE,PRIMROSE GARDEN,KANDY",2,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.613952,7.282027
Bangalows,THE RANMIN LODGE,"""THE RUNMIN LODGE"",NO.12,GLENFALL LANE,NUWARA ELIYA",7,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,NULL,NULL
Bangalows,LANDS END,"649/13,SK TOWN,MEDDAWATTA,MATARA",3,STANDARD,Matara,Matara,Matara Divisional Secretariat,80.570361,5.939156
Bangalows,COCOON HILLS,"21A,GLENFALL ROAD,NUWARA ELIYA",6,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,NULL,NULL
Bangalows,SERENITY VILLA,"NO.14/2,AMARASENA MAWATHA,HIKKADUWA",3,STANDARD,Galle,Hikkaduwa,Hikkaduwa Divisional Secretariat,80.101597,6.139843
Bangalows,SPRING ACRE,"NO.495 A-4, KANDY ROAD, TOPPASS,NUWARA ELIYA",4,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.748221,6.990897
Bangalows,TEA HILLS,"LYND HEAVEN , FRUIT HILL, HATTON",4,SUPERIOR,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.590915,6.896988
Bangalows,THAMBARAVILA,"""THAMBARAVILA"",NO.44/5,5TH LANE,NAWALA ROAD,RAJAGIRIYA",2,SUPERIOR,Colombo,Kotte Muncipal Council,Kotte Divisional Secretariat,NULL,NULL
Bangalows,REEF EDGE RESORT,"NO 11C, BEACH ROAD , POLHENA ,MATARA",4,SUPERIOR,Matara,Matara,Matara Divisional Secretariat,80.528325,5.936969
Bangalows,LANKAN BRUNCH,"NO.152 ,PALLIYAWATTA ROAD, HENDALA, WATTALA",5,SUPERIOR,Gampaha,Wattala Pradeshiya Sabha,Wattala Divisional Secretariat,NULL,NULL
Bangalows,THE OCEAN FRONT,"14, SELLAMUTTU AVENUE, COLOMBO 3",6,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.8491,6.908351
Bangalows,RICHARDS,"NO. 08, SAMADHI MAWATHA, WELLANGOLLA ROAD, KURUNEGALA",5,STANDARD,Kurunegala,Kurunegala,Kurunegala Divisional Secretariat,NULL,NULL
Bangalows,MOUNTAIN GEM,"237A, SRIMATH KUDA RATWATTA MW, KANDY.",4,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
Bangalows,AVANA,"35, CHARLES PLACE, COLOMBO 3.",3,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,NULL,NULL
Bangalows,JASMINE HOMES,"27/1, GREENFIELD PARK, MADIWELA, KOTTE",3,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.92095,6.876324
Bangalows,CEILAO VILLAS COLOMBO,"47/1,JAWATTE ROAD, COLOMBO 5.",6,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.867188,6.897036
Bangalows,5TH LANE HOUSE,"51/1A, FIFTH LANE COLOMBO 3.",4,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.854306,6.904586
Bangalows,KIKILI HOUSE,"32, LOWER DICKSON ROAD, GALLE.",4,DELUXE,Galle,Galle,Galle Divisional Secretariat,NULL,NULL
Bangalows,AMAYA BUNGALOW,"258, BOWALAWATTA,KANDY",8,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
Bangalows,CINNAMON VILLA,"KADJUGASDUWA ESTATE,MIRISWATTA, HABURUGALA, BENTOTA.",4,SUPERIOR,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,NULL,NULL
Bangalows,MUTTON BUTTON,"96/21/D, RAJAPIHILLA MAWATHA, KANDY",8,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.644256,7.284123
Bangalows,CEILAO VILLAS KIRINDA,"SUDUWELIPALASSA, KATTADIWEWA, KIRINDA.",2,DELUXE,Hambantota,Hambantota,Hambantota Divisional Secretariat,81.33386,6.228375
Bangalows,CEILAO VILLAS KABALANA,"KABALANA, WELHENGODA, AHANGAMA.",4,DELUXE,Galle,Galle,Galle Divisional Secretariat,80.346907,5.978085
Bangalows,FOREST VILLA,"185B, RAJAPIHILLA MW, KANDY",5,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,80.643597,7.284137
Bangalows,VIHARAGALA ESTATE BUNGALOW,"BERAGALA KOSLANDA RD, NIKAPOTHA P.O. VIA HAPUTALE",5,DELUXE,Badulla,Haldummulla Pradeshiya Sabha,Haldummulla Divisional Secretariat,80.941688,6.760753
Bangalows,LA VILLA SANCTUARY,"1143/G/6, THE SANCTUARY, FOREST DRIVE, THALAWATHUGODA.",2,DELUXE,Colombo,Colombo,Colombo Divisional Secretariat,79.932122,6.879158
Bangalows,CLIFF HOUSE,"LABUGOLLA, HATHARALIYADDA.",4,SUPERIOR,Kandy,Kandy,Kandy Divisional Secretariat,NULL,NULL
Bangalows,PARADISE KANDY,"195/7A,RICHMOND HILL ESTATE, HEERASSAGALA,KANDY",5,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.619126,7.276424
Bangalows,SUNROCK,"195/1A, HEERASSAGALA ROAD, KANDY.",5,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.622612,7.27082
Bangalows,THE BLISS,"18, WIJEYA ROAD, TUDELLA, JA ELA.",5,SUPERIOR,Gampaha,Gampaha,Ja-Ela Divisional Secretariat,79.893517,7.066622
Bangalows,JUNGLE TIDE,"UDUWELA,HANTANE,KANDY",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.655947,7.233831
Bangalows,NATURES TREAT BUNGLOW,"494/4, 4TH LANE,RUWANPURA SOUTH, KALAPALALUWAWE ROAD, AGGONA JUNCTION",3,DELUXE,Colombo,Kaduwela Pradeshiya Sabha,Battaramulla,79.920741,6.914802
Bangalows,KANO LANKA CENTRE,"MAHATENNA ESTATE, ELKADUWA, MATALE.",10,STANDARD,Matale,N/A,Ukuwela Divisional Secretariat,80.610315,7.409476
Bangalows,RIVERSIDE BUNGALOW,"RIVER SIDE BUNGLOW, NO 55, PARADISE ISLAND ROAD,BENTOTA",4,DELUXE,Galle,Bentota Pradeshiya Sabha,Benthota Divisional Secretariat,NULL,NULL
Bangalows,LIYON LANKA,"188/1, N.J.V COORAY MAWATHA, NAWALA,RAJAGIRIYA",5,DELUXE,Colombo,Colombo,Nugegoda Divisional Secretariat,NULL,NULL
Bangalows,51 BUNGALOW,"51,QUINTIN FERNANDO MAWATHA,NEGOMBO",2,DELUXE,Gampaha,N/A,Negombo Divisional Secretariat,NULL,NULL
Bangalows,DINUDA RESORT,"PUDUKUDUERIPPU, SETHAWADI, KALPITIYA",4,STANDARD,Puttalam,Kalpitiya Pradeshiya Sabha,Kalpitiya Divisional Secretariat,79.736991,8.229038
Bangalows,LANDS END BUNGALOW,"YADDEHIMULLA ROAD, UNAWATUNA",7,DELUXE,Galle,Habaraduwa,Habaraduwa Divisional Secretariat,80.240342,6.008725
Bangalows,GREGORY'S BUNGALOW,"109, UPPER LAKE ROAD, NUWARA ELIYA",6,DELUXE,Nuwara Eliya,Nuwara Eliya,Nuwara Eliya Divisional Secretariat,80.784538,6.956362
Bangalows,KAHAMBE ESTATE VILLA,"73/1, KAHAMBE ESTATE, KAHAMBE, PILIMATHALAWA",4,STANDARD,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.550455,7.255776
Bangalows,WHITE PALACE,"NO 92, GALMADUWA ESTATE, KUNDASALE",5,SUPERIOR,Kandy,Kundasle,Kundasale Divisional Secretariat,NULL,NULL
Bangalows,DEEN HAUS,"15/1, BEACH ROAD, MOUNTLAVINIA.",5,DELUXE,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,NULL,NULL
Bangalows,TEARAMB HOLIDAY BUNGALOW,"38, KARAGASTHALAWA, KATUKITHULA",4,SUPERIOR,Nuwara Eliya,Wellawaya,Kothmale Divisional Secretariat,80.676164,7.074153
Bangalows,UVA BEN HEAD PLANTATION (UPPER) BUNGALOW,"UVA BEN HEAD ESTATE, WELIMADA",4,SUPERIOR,Badulla,Welimada Pradeshiya Sabha,Welimada Divisional Secretariat,NULL,NULL
Bangalows,GAGA ADDARA GUEST,"7TH MILE POST, HEPOLA, DIYAKOBBALA, BIBILE",4,STANDARD,Moneragala,Bibile,Bibile Divisional Secretariat,NULL,NULL
Bangalows,TRANQUILLA,"KADJUWETIYA ROAD, PELPITIGODA.",4,DELUXE,Kalutara,Pathahewaheta,Ingiriya Divisional Secretariat,NULL,NULL
Bangalows,AIRPORT VILLA,"LIVER BROTHER ROAD, LIYANAGEMULLA ROAD, SEEDUWA",5,DELUXE,Gampaha,Seeduwa,Katana Divisional Secretariat,79.872697,7.142227
